Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
22066090,"Time's Edge (The Chronos Files, #2)",Rysa Walker,"Walker, Rysa",,,,0,4.06,Skyscape,Kindle Edition,452,2014,2014,,2014/09/30,sci-fi,"to-read (#119), sci-fi (#74)",to-read,,,,,,,0,,,,,
17345242,The World of Ice & Fire: The Untold History of Westeros and the Game of Thrones,George R.R. Martin,"Martin, George R.R.","Elio M. García Jr., Linda Antonsson",553805444,9780553805444,0,4.18,Bantam,Hardcover,326,2014,2014,,2014/09/30,sci-fi,"to-read (#117), sci-fi (#73)",to-read,,,,,,,0,,,,,
61535,The Selfish Gene,Richard Dawkins,"Dawkins, Richard",,199291152,9780199291151,0,4.1,"Oxford University Press, USA",Paperback,360,2006,1976,,2012/04/20,math,"to-read (#40), math (#5)",to-read,,,,,,,0,,,,,
17995421,The n-Body Problem,Tony Burgess,"Burgess, Tony",,1771481633,9781771481632,0,3.06,ChiZine Publications,Paperback,200,2013,2013,,2014/01/17,math,to-read (#61),to-read,,,,,,,0,,,,,
18404243,Good Manners for Nice People Who Sometimes Say F*ck,Amy Alkon,"Alkon, Amy",,1250030714,9781250030719,0,3.16,St. Martin's Griffin,Paperback,304,2014,2014,,2014/05/30,fun,to-read (#78),to-read,,,,,,,0,,,,,
9226657,"Space Junque (Apocalypto, #1)",L.K. Rigel,"Rigel, L.K.",,,,0,3.16,Beastie Press,Kindle Edition,111,2010,2010,,2016/01/28,sci-fi,to-read (#188),to-read,,,,,,,0,,,,,
6484173,The Age of Ra,James Lovegrove,"Lovegrove, James",,184416747X,9781844167470,0,3.27,Solaris,Paperback,441,2009,2009,,2012/04/28,sci-fi,to-read (#29),to-read,,,,,,,0,,,,,
22813868,The Last Passenger,Manel Loureiro,"Loureiro, Manel",Andres Alfaro,,,0,3.28,AmazonCrossing,Kindle Edition,448,2015,2013,,2016/01/28,sci-fi,to-read (#178),to-read,,,,,,,0,,,,,
18757308,"Artificial Evil (The Techxorcist, #1)",Colin F. Barnes,"Barnes, Colin F.",,,,0,3.33,Anachron Press,Kindle Edition,272,2013,2012,,2016/01/28,sci-fi,to-read (#182),to-read,,,,,,,0,,,,,
24228189,The Gemini Effect,Chuck Grossart,"Grossart, Chuck",,,,0,3.34,47North,Kindle Edition,365,2015,2012,,2016/01/28,sci-fi,to-read (#171),to-read,,,,,,,0,,,,,
23348118,Chronicles Of Kilix,T.K. Chapin,"Chapin, T.K.",,1502720892,9781502720894,0,3.35,,Paperback,116,2014,2014,,2014/11/06,sci-fi,to-read (#125),to-read,,,,,,,0,,,,,
21981663,Zombies & Calculus,Colin Conrad Adams,"Adams, Colin Conrad",,691161909,9780691161907,0,3.36,Princeton University Press,Hardcover,228,2014,2014,,2014/08/23,fun,to-read (#98),to-read,,,,,,,0,,,,,
