iter,time,solver
0,2.2930550575,GNU
1,0.3420388699,GNU
2,0.4901900291,GNU
3,0.067207098,GNU
4,2.6169750691,GNU
5,0.064964056,GNU
6,0.9206330776,GNU
7,0.2411839962,GNU
8,0.2965230942,GNU
9,0.1131031513,GNU
10,0.2512969971,GNU
11,1.3862161636,GNU
12,0.3905551434,GNU
13,1.6102728844,GNU
14,0.881955862,GNU
15,0.2613060474,GNU
16,103.99809289,GNU
17,0.1202909946,GNU
18,0.2041230202,GNU
19,0.1623220444,GNU
20,0.1289899349,GNU
21,0.0718259811,GNU
22,1.2290580273,GNU
23,40.7089262009,GNU
24,0.3453950882,GNU
25,7.9580280781,GNU
26,2.3593878746,GNU
27,0.6384000778,GNU
28,0.2346990108,GNU
29,10.8407051563,GNU
0,2.2631011009,COIN
1,0.3456921577,COIN
2,0.4912798405,COIN
3,0.0666329861,COIN
4,2.566480875,COIN
5,0.0689129829,COIN
6,0.9175138474,COIN
7,0.2399909496,COIN
8,0.2908401489,COIN
9,0.105301857,COIN
10,0.2554280758,COIN
11,1.3859870434,COIN
12,0.3967330456,COIN
13,1.6201140881,COIN
14,0.862101078,COIN
15,0.2647681236,COIN
16,103.721931934,COIN
17,0.1197760105,COIN
18,0.2056028843,COIN
19,0.1672468185,COIN
20,0.1241948605,COIN
21,0.0766510963,COIN
22,1.237746954,COIN
23,40.0805401802,COIN
24,0.3472361565,COIN
25,7.979637146,COIN
26,2.3701171875,COIN
27,0.6403079033,COIN
28,0.2316391468,COIN
29,11.017346859,COIN
0,0.3509042263,GUROBI
1,0.0662648678,GUROBI
2,0.0414390564,GUROBI
3,0.0409309864,GUROBI
4,0.055036068,GUROBI
5,0.0317440033,GUROBI
6,0.0622298717,GUROBI
7,0.0509018898,GUROBI
8,0.0619888306,GUROBI
9,0.0820448399,GUROBI
10,0.0380690098,GUROBI
11,0.0422649384,GUROBI
12,0.1835410595,GUROBI
13,0.1167299747,GUROBI
14,0.0742349625,GUROBI
15,0.0758781433,GUROBI
16,3.0117590427,GUROBI
17,0.0559148788,GUROBI
18,0.0740749836,GUROBI
19,0.0678389072,GUROBI
20,0.0409538746,GUROBI
21,0.0375139713,GUROBI
22,0.0275549889,GUROBI
23,0.060395956,GUROBI
24,0.0787189007,GUROBI
25,0.1257600784,GUROBI
26,0.2062828541,GUROBI
27,0.0664920807,GUROBI
28,0.0781071186,GUROBI
29,0.1233348846,GUROBI
0,3.594,GLPK-R
1,0.411,GLPK-R
2,0.051,GLPK-R
3,0.162,GLPK-R
4,1.018,GLPK-R
5,0.142,GLPK-R
6,0.801,GLPK-R
7,0.617,GLPK-R
8,0.297,GLPK-R
9,0.133,GLPK-R
10,0.047,GLPK-R
11,3.467,GLPK-R
12,0.377,GLPK-R
13,1.877,GLPK-R
14,1.278,GLPK-R
15,0.28,GLPK-R
16,189.035,GLPK-R
17,0.122,GLPK-R
18,0.192,GLPK-R
19,0.1,GLPK-R
20,0.094,GLPK-R
21,0.037,GLPK-R
22,2.148,GLPK-R
23,40.075,GLPK-R
24,0.265,GLPK-R
25,8.102,GLPK-R
26,2.549,GLPK-R
27,0.694,GLPK-R
28,0.192,GLPK-R
29,35.383,GLPK-R
